City,Population (%),AQI,Green Coverage (%),Factories,Vehicles Count,Education Institutions Count,Hospitals Count,Waterborne Disease Cases,Respiratory Disease Cases,Year
Khulna,52,214,28,42,528271,580,117,11911,10113,2019
Khulna,62,159,44,43,421236,472,130,1265,3229,2004
Cumilla,57,155,25,134,1409614,201,127,8050,27320,2006
Sylhet,88,249,28,35,694951,121,357,3434,12606,2002
Sylhet,98,131,18,67,1214988,569,245,10608,21221,2011
Gazipur,69,220,16,118,590920,71,172,7923,6240,2014
Gazipur,54,195,47,55,1917108,349,303,4053,22205,2011
Chattogram,92,272,25,110,137788,573,84,7132,1857,2020
Rajshahi,84,74,28,79,1139375,432,332,1450,2816,2006
Khulna,98,209,39,70,1453602,565,86,2436,26909,2019
Cumilla,71,178,30,74,773077,422,299,4885,9559,2017
Chattogram,77,149,39,136,1046206,552,233,15000,9710,2008
Khulna,74,110,35,102,186318,289,185,10065,6343,2019
Narayanganj,71,134,32,24,1061888,575,36,6953,6917,2023
Khulna,61,51,12,142,634051,62,363,11913,24725,2019
Sylhet,86,173,40,120,156692,356,295,11724,5668,2017
Sylhet,67,185,14,54,286643,151,178,763,17406,2008
Khulna,83,186,27,90,1631346,572,351,4462,3968,2012
Dhaka,94,137,16,138,306674,286,193,8144,24297,2016
Rajshahi,90,147,27,12,1640093,70,261,1363,7638,2023
Barishal,51,174,28,78,600815,117,26,13774,28297,2000
Narayanganj,94,193,49,38,465774,227,248,5570,24071,2000
Cumilla,92,145,18,114,582509,541,252,13176,5562,2004
Dhaka,73,53,31,82,1516886,642,380,10402,4419,2002
Sylhet,90,231,43,104,1154925,72,260,10335,3292,2010
Barishal,86,182,22,45,647813,426,344,10997,6175,2018
Cumilla,68,216,9,110,1444714,369,78,12371,4729,2014
Sylhet,98,272,39,28,65255,134,357,13361,3104,2002
Barishal,82,61,20,133,967031,532,257,10281,5539,2007
Chattogram,79,225,15,100,1665338,641,220,8650,13365,2013
Barishal,57,224,19,16,566062,385,291,13445,11931,2023
Gazipur,91,172,20,25,715695,578,300,10032,19411,2012
Sylhet,84,193,48,95,720374,349,98,1662,11602,2019
Gazipur,68,209,38,34,472981,150,26,1785,10068,2013
Dhaka,69,285,16,58,1085036,386,261,2921,26761,2016
Chattogram,61,131,29,72,1144187,69,134,7483,17461,2007
Chattogram,69,238,37,132,1096123,457,86,12918,7721,2001
Chattogram,58,50,28,145,1655195,90,242,12301,16531,2007
Chattogram,83,104,7,42,415491,307,158,12176,16774,2024
Mymensingh,52,298,40,84,1507358,279,115,9572,25062,2019
Barishal,52,213,40,84,727606,396,374,5172,21536,2011
Mymensingh,56,264,41,58,549171,464,163,3810,5246,2015
Gazipur,73,234,28,105,1622925,196,205,1125,17067,2014
Barishal,82,150,46,145,1973188,348,284,648,2726,2012
Barishal,94,231,24,19,619649,166,47,11014,25095,2024
Gazipur,79,58,33,66,337538,624,27,4391,5142,2014
Rangpur,95,83,12,80,622730,415,156,7635,23161,2009
Barishal,60,181,22,117,1157251,498,165,7248,5226,2008
Chattogram,92,164,41,24,1012599,179,207,7183,5721,2015
Cumilla,96,58,26,113,183050,430,301,7242,4105,2016
Sylhet,72,101,10,101,1004666,417,252,5194,11077,2005
Khulna,61,51,14,106,859940,156,54,1862,3907,2016
Cumilla,70,115,5,81,423381,461,143,4601,18882,2024
Dhaka,85,74,41,85,775062,178,390,2563,3510,2016
Chattogram,85,275,25,51,1012988,546,205,6876,16183,2014
Barishal,90,167,19,33,1163949,382,98,14135,21325,2004
Dhaka,97,188,37,57,1114761,150,224,3557,25609,2009
Barishal,85,285,15,118,895408,315,166,11257,2543,2015
Gazipur,87,160,38,16,144468,332,102,3949,18384,2007
Narayanganj,72,199,41,95,1607409,505,100,11473,1739,2008
Dhaka,52,193,15,89,284684,202,91,4002,27505,2015
Cumilla,63,166,13,38,515835,219,359,14179,20709,2001
Barishal,81,200,46,21,1708560,248,364,13363,2524,2016
Rajshahi,72,93,45,21,287183,247,304,3431,21374,2008
Rangpur,94,187,39,140,1823983,365,146,2047,23460,2006
Cumilla,59,212,7,22,1278697,331,94,4309,6292,2011
Gazipur,79,225,10,20,1018591,431,165,4246,18872,2016
Gazipur,100,114,45,127,597120,168,310,14274,12289,2009
Barishal,84,258,25,84,385257,482,178,13748,2739,2006
Barishal,86,265,41,69,696243,160,212,5230,20214,2000
Khulna,84,89,32,30,1166080,320,123,11654,3175,2000
Khulna,77,113,46,47,1885290,510,388,13721,18468,2003
Gazipur,97,111,40,66,1236267,476,230,12707,10864,2014
Rajshahi,84,175,24,93,350174,196,256,7016,10144,2011
Khulna,64,167,9,18,1435584,506,43,14995,11267,2023
Barishal,55,65,7,134,619830,529,238,9819,10855,2017
Narayanganj,73,270,43,43,985673,444,75,1861,21508,2011
Barishal,83,245,16,111,1136267,566,192,10686,10515,2010
Sylhet,78,56,39,51,597554,347,167,12876,11549,2014
Khulna,79,268,6,127,243575,69,115,4897,22652,2013
Khulna,52,64,37,139,730033,151,221,8484,27719,2020
Mymensingh,52,82,17,53,606779,189,227,14966,13440,2013
Rajshahi,89,171,24,18,1783833,240,60,3481,22406,2004
Chattogram,90,57,9,11,1923798,698,91,10011,7946,2017
Sylhet,91,271,50,62,646555,221,386,7583,8401,2020
Rajshahi,68,160,44,20,777493,151,30,6689,12629,2004
Gazipur,96,244,42,11,106459,230,133,10608,17791,2013
Sylhet,58,236,35,66,83736,590,294,901,5632,2022
Narayanganj,63,83,25,104,1186845,362,340,4250,23595,2014
Mymensingh,56,262,24,134,1126902,617,385,5481,16867,2002
Chattogram,50,282,47,92,54056,610,309,2862,6911,2014
Rangpur,66,264,45,56,1705989,437,193,13087,21316,2016
Cumilla,90,298,30,21,239194,590,148,10944,22726,2006
Rangpur,82,56,46,109,705495,66,85,12581,8667,2015
Mymensingh,76,155,10,52,1177852,542,39,7039,19503,2011
Chattogram,76,180,29,89,217834,515,43,6478,16181,2002
Narayanganj,54,86,9,118,1474633,483,239,4240,29522,2002
Sylhet,84,148,41,142,1326057,475,376,1029,4683,2020
Mymensingh,61,267,10,58,627058,291,184,4976,22487,2015
Narayanganj,64,74,31,26,1182269,437,382,2840,1343,2024
Narayanganj,75,69,14,135,1532886,576,78,4175,16037,2008
Sylhet,51,236,18,15,1648073,452,91,8610,27220,2018
Khulna,74,148,20,78,157368,268,287,8219,21954,2007
Dhaka,83,247,45,113,1170601,515,136,9040,15291,2003
Mymensingh,73,298,47,73,1456738,672,106,12544,14884,2000
Narayanganj,91,51,14,139,1899686,699,205,13504,18126,2024
Gazipur,92,190,7,19,219157,580,362,14374,27631,2011
Chattogram,77,204,7,131,1161482,422,166,1066,1787,2013
Narayanganj,58,75,22,12,1505379,354,44,4949,21997,2006
Chattogram,79,188,36,10,1315033,298,123,12259,26254,2023
Narayanganj,78,87,8,30,1108842,88,176,1592,13420,2014
Dhaka,61,243,23,83,1922673,510,242,13561,24389,2004
Gazipur,81,176,38,81,762509,410,53,13754,12393,2010
Mymensingh,69,118,16,10,1556844,79,75,13056,5556,2014
Cumilla,100,202,12,77,80793,603,357,3376,11699,2014
Barishal,57,215,22,140,1165160,503,391,10346,17369,2001
Sylhet,59,136,21,123,1509072,402,105,3708,3826,2022
Dhaka,79,168,37,128,1965691,453,28,14670,13202,2004
Cumilla,53,249,46,47,1807784,285,376,11975,16314,2021
Cumilla,100,242,17,87,1482635,466,393,7364,1883,2003
Narayanganj,98,96,31,55,1596691,81,199,7458,6617,2011
Barishal,66,276,47,22,1961144,251,199,11804,27073,2009
Rangpur,66,82,29,40,236392,543,182,5899,24457,2000
Barishal,92,230,15,32,195957,244,161,9128,2586,2018
Cumilla,76,291,48,94,604500,359,69,14096,11164,2008
Gazipur,65,263,12,17,1550775,419,211,13752,19426,2004
Rajshahi,56,161,39,95,1638634,514,88,722,1925,2023
Dhaka,66,119,43,60,1159073,163,80,14267,25618,2011
Khulna,50,58,22,17,113581,480,157,14197,19489,2014
Barishal,64,159,16,11,163938,275,203,4395,2980,2021
Dhaka,79,52,18,12,422539,565,394,14064,9051,2014
Barishal,66,237,17,116,534663,135,286,979,14932,2002
Rangpur,64,288,50,150,1841536,323,99,13309,18778,2017
Rajshahi,97,113,29,99,1051100,696,252,9574,26135,2015
Narayanganj,96,187,46,87,799716,234,130,8102,1810,2022
Khulna,96,261,48,115,92030,510,282,4290,27548,2001
Chattogram,52,268,21,116,1876831,561,157,4853,6400,2008
Barishal,77,76,5,145,575657,449,27,1272,22233,2018
Barishal,54,158,46,137,764044,105,316,5488,18152,2012
Cumilla,88,53,14,102,1476324,507,293,5429,29429,2016
Rangpur,77,115,15,140,1676973,655,119,13835,13529,2002
Narayanganj,51,263,14,142,419045,129,108,6852,16422,2006
Barishal,59,234,37,126,743361,583,271,2773,23106,2015
Sylhet,62,221,27,111,202903,667,170,13799,24491,2011
Sylhet,55,79,32,60,1341254,61,250,8109,16693,2017
Rangpur,76,209,9,148,1639297,156,374,10400,24745,2001
Cumilla,59,203,37,70,1009794,201,328,10978,17208,2012
Mymensingh,87,205,26,120,1597785,606,293,8806,24999,2004
Cumilla,82,286,35,106,701175,442,74,6539,4892,2021
Gazipur,59,170,37,60,1742915,263,75,10500,19347,2008
Dhaka,59,186,41,58,625810,265,387,1755,2035,2001
Khulna,77,98,50,41,218682,159,257,622,27616,2010
Barishal,97,170,18,20,773416,661,90,8468,9910,2010
Mymensingh,50,265,25,102,1313961,198,348,5538,18494,2024
Chattogram,97,121,48,31,1325326,131,86,2144,6632,2023
Chattogram,91,260,12,128,689737,110,93,7571,10686,2022
Dhaka,60,173,19,140,1402356,590,91,4708,11290,2006
Sylhet,82,203,40,101,1286579,465,350,10381,7428,2017
Sylhet,98,263,27,31,1760947,389,197,9417,9422,2018
Cumilla,86,221,25,106,332052,299,111,13879,18846,2009
Rangpur,91,222,41,42,1498873,636,230,2084,20311,2010
Chattogram,89,95,46,50,73442,590,263,5517,22177,2018
Sylhet,89,100,22,28,579127,341,396,3138,10864,2004
Khulna,54,250,49,30,671049,375,186,8599,29894,2002
Sylhet,68,83,46,47,1005805,68,181,14126,27947,2024
Chattogram,54,273,27,14,731733,187,212,4237,9670,2014
Narayanganj,84,195,21,73,1412444,271,219,8029,20681,2004
Barishal,53,202,8,32,1715807,331,23,3080,10191,2001
Rajshahi,97,202,13,135,1825743,189,295,10095,14763,2011
Narayanganj,63,168,21,133,325469,426,195,8164,19292,2005
Khulna,52,294,48,68,792354,91,255,3607,26756,2011
Mymensingh,63,257,50,47,1208608,445,120,11473,6565,2020
Cumilla,67,227,9,106,1670436,516,198,10604,18041,2013
Sylhet,53,219,40,40,1356280,360,155,9205,26331,2006
Rajshahi,61,102,33,26,169834,328,355,13733,9637,2020
Barishal,76,248,21,40,339449,150,263,642,15090,2018
Khulna,91,300,16,62,1323819,631,147,5967,6759,2010
Sylhet,98,145,30,96,1646172,374,179,14078,16033,2002
Khulna,51,262,47,94,1680929,368,303,8242,27439,2004
Mymensingh,58,99,29,137,133762,599,308,6110,9591,2016
Sylhet,80,288,34,145,219024,526,210,14307,3636,2022
Rangpur,62,263,9,29,1871833,211,147,8685,12093,2021
Dhaka,93,250,15,43,1862965,275,130,13847,3928,2009
Dhaka,74,283,47,67,904538,196,280,4951,1448,2013
Narayanganj,84,219,15,101,824841,536,248,1094,19449,2012
Rajshahi,86,74,40,92,1598018,382,28,8886,9677,2006
Cumilla,63,78,16,83,749434,366,99,11661,8446,2015
Rajshahi,53,189,44,116,1603084,314,139,5132,28332,2023
Barishal,58,146,39,67,740146,316,302,13341,29136,2005
Rangpur,68,83,18,110,1311568,334,203,8596,2415,2010
Dhaka,67,118,27,46,1488969,259,99,1764,10009,2018
Khulna,94,245,24,119,629248,202,109,12783,16024,2015
Chattogram,84,97,47,18,1062972,687,299,2102,8408,2012
Khulna,86,127,32,71,1200022,322,109,4868,7150,2024
Dhaka,61,124,44,52,532573,637,178,7565,16871,2013
Sylhet,83,108,7,20,1416897,133,197,6753,12964,2006
Gazipur,52,209,13,107,1423456,56,272,3387,18478,2010
Barishal,50,238,15,85,705183,145,346,3061,10604,2018
Narayanganj,55,178,41,51,579780,497,272,8703,2354,2013
Cumilla,92,188,39,57,811257,594,66,9515,9551,2014
Rajshahi,91,183,11,34,175755,673,378,12879,22856,2011
Gazipur,69,287,36,79,1711083,618,223,9792,29454,2020
Cumilla,85,229,26,143,1104525,559,238,7928,23345,2017
Narayanganj,73,87,13,20,1437816,257,106,8079,25467,2015
Narayanganj,90,201,39,117,1229064,663,291,11196,29955,2007
Khulna,55,171,37,93,1816106,590,290,13013,11128,2015
Narayanganj,76,145,10,141,453127,214,196,4698,25277,2006
Sylhet,50,94,46,99,1869505,506,55,6957,2665,2006
Chattogram,96,183,35,70,294800,88,92,11472,15259,2013
Sylhet,53,243,29,99,798793,414,267,7670,8296,2021
Barishal,74,143,30,47,1484957,471,144,6553,2857,2005
Cumilla,55,156,26,51,758891,587,97,10211,20088,2007
